25/08/10 18:16:31  4.480 -76.090 146 4.9 C 204 Km al sur de Medellin, Colombia
25/08/10 20:21:08 14.850 -93.850   7 5.6 C 111 Km al sur de Buenavista, México
25/08/10 20:48:44 12.510 -90.110  11 3.4 C 124 Km al sur de Acajutla, El Salvador
25/08/10 21:29:46 14.110 -89.840   8 2.5 C  20 Km al sur de Jutiapa, Guatemala
25/08/10 21:58:10 14.320 -90.290   7 2.0 C   5 Km al norte de Cuilapa, Guatemala
25/08/10 22:13:25 14.060 -89.820   5 2.3 C  16 Km al norte de Ahuachapan, El Salvador
25/08/10 22:46:37 14.830 -94.190   2 3.9 C 128 Km al suroeste de Buenavista, México
25/08/11 01:26:39 14.130 -89.870   8 2.0 C  17 Km al sur de Jutiapa, Guatemala
25/08/11 02:41:37 14.070 -89.840   7 2.4 C  17 Km al norte de Ahuachapan, El Salvador
25/08/11 03:04:30 14.930 -94.330   7 4.0 C 125 Km al suroeste de Puerto Arista, México
25/08/11 03:51:44 14.100 -89.830   6 2.2 C  20 Km al norte de Ahuachapan, El Salvador
25/08/11 03:57:36 14.980 -94.070   1 4.5 C 107 Km al suroeste de Buenavista, México
25/08/11 04:06:45 12.170 -87.150  35 2.6 C  25 Km al suroeste de Las Penitas, Nicaragua
25/08/11 05:59:29  9.660 -83.540   3 3.2 C  40 Km al norte de Tres de Junio, Costa Rica
25/08/11 06:46:17 14.030 -89.790   7 2.7 C  14 Km al noreste de Ahuachapan, El Salvador
25/08/11 08:07:47 13.220 -89.990  25 2.5 C  44 Km al suroeste de Acajutla, El Salvador
25/08/11 11:28:29 13.000 -88.960  34 3.0 C  32 Km al suroeste de Delta del Rio Lempa, El Salvador
25/08/11 11:46:46 14.780 -94.230  10 4.8 C 135 Km al suroeste de Buenavista, México
25/08/11 12:57:44 12.760 -86.720  10 1.5 C  22 Km al noreste de Volcán Telica, Nicaragua
25/08/11 19:16:51 13.250 -89.030  40 2.3 C  22 Km al oeste de Delta del Rio Lempa, El Salvador
25/08/11 20:51:01 12.590 -88.010  28 2.6 C  50 Km al suroeste de Punta Cosigüina, Nicaragua
25/08/11 21:25:20 14.080 -90.230   5 2.7 C  23 Km al sur de Cuilapa, Guatemala
25/08/11 23:52:43 11.900 -85.190  14 1.2 C  29 Km al sureste de Juigalpa, Nicaragua
25/08/12 00:33:40 14.900 -94.420   1 4.1 C 132 Km al suroeste de Puerto Arista, México
25/08/12 02:29:48 13.750 -91.350  21 3.6 C  25 Km al sur de Tecojate, Guatemala
25/08/12 04:18:10 11.980 -86.840  50 3.5 C  17 Km al suroeste de El Transito, Nicaragua
25/08/12 04:50:06 12.710 -87.900  30 2.8 C  32 Km al suroeste de Punta Cosigüina, Nicaragua
25/08/12 07:00:55 13.170 -89.870  20 2.9 C  47 Km al sur de Acajutla, El Salvador
25/08/12 07:09:41 14.110 -89.840   7 1.7 C  20 Km al sur de Jutiapa, Guatemala
25/08/12 09:44:00 14.060 -89.830   6 2.4 C  16 Km al norte de Ahuachapan, El Salvador
25/08/12 11:41:36  9.800 -84.770   9 2.6 C  16 Km al oeste de Tarcoles, Costa Rica
25/08/12 11:55:42 12.750 -88.630  30 3.0 C  60 Km al sur de Delta del Rio Lempa, El Salvador
25/08/12 16:45:32 15.690 -89.690   3 3.3 C  77 Km al norte de Coban, Guatemala
25/08/12 17:39:19 12.860 -90.460  13 4.0 C 106 Km al suroeste de Acajutla, El Salvador
25/08/12 20:02:40 13.170 -87.830 177 2.9 C  18 Km al sur de La Union, El Salvador
25/08/12 23:47:08 13.170 -89.960  20 2.7 C  49 Km al sur de Acajutla, El Salvador
25/08/13 00:31:05 12.760 -88.570  32 2.2 C  62 Km al sureste de Delta del Rio Lempa, El Salvador
25/08/13 00:46:00 14.530 -90.660   5 2.5 C   8 Km al norte de Antigua Guatemala, Guatemala
25/08/13 00:59:10 13.480 -91.240   7 3.0 C  50 Km al sur de San Jose, Guatemala
25/08/13 01:01:35 14.430 -90.690   1 1.7 C  15 Km al sur de Antigua Guatemala, Guatemala
25/08/13 01:45:57 14.910 -92.850  57 3.8 C  44 Km al suroeste de Pueblo Nuevo, México
25/08/13 02:22:58 14.540 -90.650   5 2.2 C   9 Km al norte de Antigua Guatemala, Guatemala
25/08/13 02:57:41 13.170 -89.230  35 2.4 C  37 Km al sur de La Libertad, El Salvador
25/08/13 03:02:44 14.110 -89.860   9 2.2 C  20 Km al sur de Jutiapa, Guatemala
25/08/13 03:11:04 14.130 -89.860   4 2.2 C  17 Km al sur de Jutiapa, Guatemala
25/08/13 05:30:05 14.100 -89.820   7 2.3 C  20 Km al norte de Ahuachapan, El Salvador
25/08/13 06:09:26 16.110 -85.970   2 3.2 C  22 Km al norte de Trujillo, Honduras
25/08/13 07:16:44 14.030 -89.820   9 2.5 C  13 Km al norte de Ahuachapan, El Salvador
25/08/13 07:21:00 11.470 -86.850  26 3.2 C  50 Km al suroeste de Pochomil, Nicaragua
25/08/13 12:12:06 14.030 -89.780   5 2.3 C  14 Km al noreste de Ahuachapan, El Salvador
25/08/13 15:38:15 11.940 -86.510  84 2.3 C  17 Km al norte de Masachapa, Nicaragua
25/08/13 15:48:21 14.050 -89.800   6 2.4 C  15 Km al norte de Ahuachapan, El Salvador
25/08/13 17:04:12 14.060 -89.810   5 2.3 C  16 Km al norte de Ahuachapan, El Salvador
